registerNumber,preferWorking,financialConstraint,familyIssues,joinOtherCollege,healthIssues,willComplete
12pct01,2,2,2,2,2,Yes
12pct02,1,1,1,1,2,No
12pct03,1,2,2,1,1,No
12pct04,2,2,2,2,2,Yes
12pct05,1,2,1,1,2,No
12pct08,1,1,1,1,2,No
12pct09,2,2,2,2,2,Yes
12pct10,1,1,1,2,1,No
12pct11,2,1,1,2,1,No
12pct12,2,1,1,2,2,Yes
12pct13,2,2,1,2,2,No
12pct14,1,1,1,1,2,No
12pct15,2,1,1,2,1,No
12pct16,2,2,2,2,2,Yes
12pct17,2,1,1,2,1,No
12pct18,1,1,1,2,2,No
12pct19,1,1,1,2,1,No
12pct20,2,2,2,2,2,No
12pct21,1,1,2,2,2,No
12pct22,2,2,2,2,2,No
12pct23,2,2,2,2,2,Yes
13pct01,1,2,2,2,2,No
13pct02,2,2,2,2,2,Yes
13pct03,1,2,2,2,2,Yes
13pct04,2,2,1,2,2,No
13pct05,1,1,1,2,2,No
13pct06,2,2,2,2,2,Yes
13pct07,2,1,2,2,2,Yes
13pct09,2,2,2,2,2,Yes
13pct10,2,2,2,2,2,Yes
13pct11,2,2,2,2,2,Yes
13pct12,1,1,2,1,2,No
13pct13,2,2,2,2,2,Yes
13pct16,2,2,2,2,2,Yes
13pct17,2,2,1,2,2,Yes
13pct18,2,2,2,2,2,Yes
13pct19,2,1,2,2,2,Yes
13pct20,2,2,2,2,2,No
13pct22,2,2,2,2,2,Yes
13pct23,1,2,2,1,2,No
13pct24,1,2,2,2,2,No
13pct25,2,2,1,2,2,Yes
13pct26,1,2,2,1,2,No
14pct01,1,2,2,2,2,Yes
14pct02,2,1,1,2,2,No
14pct03,2,2,2,1,2,No
14pct04,1,1,1,2,2,No
14pct05,1,1,2,1,2,No
14pct06,2,2,1,2,2,Yes
14pct07,1,1,2,1,2,No
14pct08,2,2,2,2,1,No
14pct09,2,2,2,2,2,Yes
14pct10,1,1,1,2,2,No
14pct11,2,2,2,1,2,No
14pct12,1,2,2,2,2,No
14pct13,2,2,2,2,2,Yes
14pct14,2,2,2,1,2,No
14pct15,1,2,2,2,2,No
14pct16,2,1,1,1,2,No
14pct17,2,2,2,2,2,Yes
14pct18,1,2,2,2,2,No
14pct19,2,2,2,2,2,Yes
14pct20,2,2,2,2,2,Yes
14pct21,1,1,2,2,2,No
14pct22,1,2,2,2,2,Yes
14pct23,2,2,2,2,2,Yes
14pct24,2,2,2,2,1,No
14pct25,1,2,2,2,2,Yes
14pct26,2,2,2,1,2,No
16pct01,2,2,2,2,2,Yes
16pct02,1,2,1,2,2,Yes
16pct04,2,2,2,2,2,No
16pct05,2,2,2,2,2,Yes
16pct06,2,2,2,2,2,Yes
16pct08,2,2,2,2,2,Yes
16pct09,2,2,2,2,2,Yes
16pct12,1,2,2,2,2,Yes
16pct13,2,2,2,2,2,Yes
16pct16,1,2,2,2,1,Yes
16pct17,2,2,2,2,1,Yes
16pct18,1,2,2,2,1,Yes
16pct19,1,2,2,2,1,Yes
16pct20,2,2,2,2,1,Yes
16pct21 ,2,1,2,2,1,Yes
16pct23,2,2,2,2,1,Yes
16pct24,2,2,2,2,1,Yes
16pct25,2,2,2,2,1,Yes
16pct26,2,2,2,2,1,Yes
17pct01,2,2,2,2,1,Yes
17PCT03 ,1,2,2,2,1,Yes
17pct06,1,2,2,2,1,Yes
17pct07,1,2,2,2,2,No
17pct11 ,2,2,2,2,1,Yes
17pct13,1,2,2,2,2,No
17pct14,1,2,2,2,2,No
17pct15,1,2,1,2,2,No
17pct17,1,2,1,2,1,Yes
17pct19,1,2,2,2,1,Yes
17pct21,1,2,2,2,1,Yes
17pct26,1,1,1,2,2,No
18pct01,1,2,2,2,1,Yes
18pct03,1,2,1,2,2,No
18pct04,2,2,2,2,1,Yes
18pct05,1,2,2,2,1,Yes
18pct06,1,2,2,2,1,Yes
18PCT07,1,2,2,2,1,Yes
18pct08,1,2,2,2,1,Yes
18pct09,2,2,2,2,1,Yes
18pct10,2,2,2,2,1,Yes
18pct11,2,2,2,2,1,Yes
18pct12,1,2,1,2,2,No
18pct13,2,2,2,2,1,Yes
18pct14,2,2,2,2,1,Yes
18PCT17 ,1,2,1,2,2,No
18pct18,1,2,2,2,1,Yes
18pct20,2,2,2,2,1,Yes
18pct21,1,2,2,2,1,Yes
18pct23,2,2,2,2,1,Yes
18pct25,1,2,1,2,2,No
18pct26,1,2,2,2,1,Yes
